UNIT,TOTAL
R164,1033
R124,1033
R085,1033
R345,1032
R236,1031
R142,1031
R544,1030
R195,1028
R168,1028
R167,1027
R251,1026
R298,1026
R015,1025
R178,1025
R168,1025
R188,1025
R368,1025
R462,1025
R192,1024
R299,1021
R081,1021
R050,1020
R005,1020
R197,1018
R379,1017
R215,1015
R019,1015
R259,1012
R386,1010
R040,1009
R102,1009
R141,1009
R272,1008
R143,1008
R001,1008
R207,1007
R546,1006
R257,1006
R116,1006
R250,1005
R057,1005
R189,1004
R029,1004
R035,1004
R143,1003
R279,1003
R197,1003
R099,1002
R172,1001
R196,1001
R146,1001
R327,999
R141,999
R175,999
R051,999
R287,997
R334,996
R056,995
R356,995
R094,995
R059,994
R099,993
R013,992
R109,989
R367,987
R239,986
R146,986
R397,985
R138,985
R258,985
R014,985
R449,984
R551,982
R461,982
R468,981
R014,980
R080,979
R373,979
R029,977
R302,977
R005,977
R154,977
R323,976
R163,976
R110,976
R116,976
R051,974
R304,973
R438,973
R408,971
R552,971
R223,970
R123,969
R177,968
R463,968
R211,968
R136,967
R152,967
R082,965
R154,963
R019,963
R143,963
R093,962
R276,960
R462,960
R207,960
R194,958
R094,957
R017,957
R109,957
R136,956
R286,956
R020,956
R174,955
R286,955
R439,955
R141,954
R017,954
R136,954
R172,953
R053,953
R167,952
R015,951
R409,951
R018,950
R167,950
R399,950
R408,949
R035,949
R027,948
R324,948
R446,948
R053,947
R172,946
R030,946
R249,946
R044,945
R163,943
R324,943
R293,943
R051,942
R131,942
R032,942
R025,941
R347,940
R268,940
R012,940
R321,940
R245,939
R413,938
R018,937
R341,937
R234,937
R019,936
R056,936
R220,936
R102,935
R546,935
R014,935
R362,934
R155,934
R365,932
R014,932
R065,932
R083,931
R199,928
R158,927
R350,926
R080,926
R387,926
R469,925
R145,925
R363,924
R277,924
R371,923
R051,923
R548,923
R015,922
R069,922
R379,921
R064,921
R469,921
R431,920
R304,920
R195,919
R116,919
R438,918
R386,917
R044,917
R065,917
R193,916
R261,916
R122,916
R028,916
R085,916
R084,916
R164,916
R025,914
R014,913
R281,913
R006,913
R141,913
R155,913
R268,913
R376,912
R432,912
R547,911
R461,911
R314,909
R363,908
R176,908
R171,908
R059,908
R546,907
R035,906
R358,906
R449,906
R169,906
R297,905
R027,905
R215,905
R016,905
R052,904
R546,904
R164,904
R404,904
R129,904
R108,903
R012,903
R069,902
R025,902
R212,901
R082,901
R037,900
R102,900
R252,900
R111,900
R096,900
R204,899
R057,898
R123,896
R065,896
R018,895
R185,895
R056,894
R391,894
R268,894
R211,894
R249,893
R365,893
R297,893
R333,893
R220,892
R159,892
R387,891
R183,891
R231,891
R223,891
R271,890
R195,889
R238,889
R127,889
R543,888
R327,888
R251,887
R213,886
R269,886
R082,884
R018,884
R057,883
R340,883
R302,882
R361,882
R050,882
R084,881
R127,881
R049,881
R194,880
R098,879
R049,878
R021,877
R072,875
R344,875
R548,875
R110,875
R049,875
R444,875
R082,875
R136,874
R170,874
R127,873
R315,872
R262,871
R015,871
R445,871
R004,871
R214,870
R156,870
R142,870
R359,869
R112,869
R238,869
R536,868
R199,867
R108,867
R022,866
R353,866
R170,865
R273,864
R115,863
R451,863
R021,863
R443,862
R327,862
R371,861
R204,861
R050,860
R463,860
R446,859
R010,858
R164,857
R129,857
R204,857
R092,856
R027,855
R254,855
R541,855
R282,854
R258,854
R199,853
R189,853
R246,853
R244,853
R056,852
R319,852
R444,852
R253,852
R111,851
R330,850
R164,850
R059,850
R231,849
R447,848
R035,848
R169,848
R387,848
R138,847
R029,847
R131,845
R443,845
R324,845
R143,844
R056,843
R443,843
R065,843
R127,842
R127,841
R334,841
R552,841
R106,841
R103,840
R297,839
R014,839
R440,839
R551,837
R108,837
R366,837
R021,836
R028,834
R142,834
R200,834
R258,833
R302,832
R278,832
R349,832
R160,832
R443,831
R023,831
R463,831
R176,831
R160,830
R135,830
R064,829
R248,829
R114,828
R551,828
R044,828
R057,827
R112,824
R012,822
R405,822
R116,822
R156,822
R285,822
R014,821
R143,821
R154,820
R049,819
R084,819
R083,819
R176,819
R190,819
R269,818
R088,818
R072,817
R535,817
R017,816
R113,816
R164,815
R223,814
R176,814
R267,813
R256,813
R014,813
R094,812
R175,812
R112,812
R266,812
R001,811
R289,811
R032,810
R014,810
R013,810
R139,809
R434,809
R226,808
R195,808
R163,808
R155,808
R057,806
R188,806
R079,805
R267,805
R126,805
R030,803
R188,803
R250,803
R236,803
R050,801
R300,800
R194,800
R001,800
R139,800
R178,799
R231,799
R268,799
R167,798
R105,798
R088,798
R321,797
R111,797
R409,797
R072,797
R031,797
R011,796
R117,795
R396,795
R176,795
R334,795
R175,794
R317,794
R449,793
R241,793
R424,792
R143,792
R234,792
R154,792
R100,791
R179,791
R199,790
R384,790
R014,790
R267,788
R460,787
R192,786
R154,784
R190,783
R186,782
R314,782
R168,782
R225,781
R049,781
R006,780
R408,780
R387,780
R285,779
R333,779
R296,779
R449,779
R468,778
R446,777
R049,776
R033,776
R420,775
R138,775
R462,775
R461,775
R115,774
R051,774
R298,774
R155,773
R325,773
R307,773
R395,773
R019,773
R164,772
R029,771
R016,771
R361,770
R194,770
R251,770
R044,770
R085,769
R160,768
R046,768
R029,768
R153,768
R001,767
R028,767
R133,766
R391,766
R094,765
R370,764
R238,764
R442,763
R083,763
R272,763
R323,762
R177,762
R032,762
R032,761
R226,761
R126,760
R154,760
R062,759
R450,758
R298,758
R139,758
R133,758
R547,757
R342,756
R046,755
R116,755
R336,755
R173,755
R395,754
R158,754
R406,753
R301,753
R244,752
R127,751
R257,751
R011,750
R178,749
R280,748
R250,748
R456,747
R185,746
R084,746
R268,746
R199,746
R432,745
R004,744
R138,744
R145,744
R409,743
R115,743
R146,742
R032,741
R046,741
R210,740
R141,740
R121,740
R294,740
R385,740
R143,739
R057,739
R081,739
R535,738
R111,738
R262,738
R163,738
R046,737
R398,735
R302,735
R183,735
R049,734
R462,734
R116,733
R238,733
R216,733
R356,733
R268,732
R041,731
R135,731
R264,731
R400,729
R032,729
R204,729
R414,728
R139,728
R008,728
R064,728
R029,728
R028,726
R272,725
R169,725
R007,725
R547,725
R131,724
R167,724
R154,724
R439,724
R155,723
R370,723
R099,723
R098,723
R056,722
R166,722
R306,722
R318,721
R439,720
R079,720
R139,719
R029,719
R019,719
R294,718
R054,718
R048,717
R166,717
R299,716
R238,716
R049,715
R167,715
R216,715
R269,715
R387,715
R157,715
R272,714
R015,714
R224,714
R169,713
R546,713
R447,713
R012,713
R035,713
R129,711
R460,711
R330,711
R385,709
R302,709
R353,708
R098,708
R017,707
R391,707
R110,707
R116,707
R461,706
R195,706
R239,705
R028,705
R279,705
R270,704
R098,704
R253,703
R014,703
R131,703
R116,703
R156,702
R032,702
R223,701
R098,701
R258,701
R266,700
R058,700
R283,700
R025,700
R131,700
R359,699
R056,699
R365,699
R049,699
R060,698
R413,697
R137,697
R017,697
R551,696
R041,696
R211,696
R114,696
R286,696
R272,695
R298,695
R383,694
R127,694
R013,693
R080,693
R327,692
R031,692
R151,692
R541,692
R412,692
R288,691
R253,690
R369,689
R110,689
R284,688
R385,688
R051,688
R288,688
R454,688
R407,686
R544,686
R131,686
R084,685
R141,684
R116,683
R320,683
R284,682
R213,681
R007,681
R219,680
R045,680
R346,679
R279,679
R014,679
R088,678
R129,678
R335,678
R131,678
R213,678
R549,678
R080,677
R450,677
R172,677
R140,676
R541,676
R383,675
R307,674
R110,674
R176,673
R163,673
R014,672
R446,671
R030,671
R386,670
R176,670
R012,669
R041,669
R441,668
R210,668
R306,666
R461,666
R202,666
R028,666
R550,666
R213,665
R049,664
R145,664
R155,664
R019,663
R433,663
R282,662
R436,662
R085,662
R443,662
R195,662
R242,662
R116,661
R344,661
R092,661
R137,661
R136,661
R014,661
R168,661
R112,661
R246,661
R168,660
R018,660
R396,660
R142,659
R297,659
R099,658
R060,657
R402,656
R230,655
R320,655
R049,654
R403,654
R138,653
R463,653
R143,652
R451,652
R376,651
R160,651
R289,650
R083,650
R535,649
R033,649
R151,649
R430,649
R095,649
R214,648
R108,647
R164,647
R160,646
R158,646
R028,645
